,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
2274,trængsel,19,7,0,1,19,7,0,26,Venstre
2275,spejlsalen,9,4,0,1,9,4,0,13,Venstre
2276,spændende,9,4,0,1,9,4,0,13,Venstre
2277,resultat,89,29,27,2,44,14,14,72,Venstre
2278,guld,64,25,7,2,32,12,4,48,Venstre
2279,opgørelse,27,9,0,1,27,9,0,36,Venstre
2280,flotte,37,16,7,1,37,16,7,60,Venstre
2281,regeringsparti,70,26,24,1,70,26,24,120,Venstre
2282,ftåbning,205,49,45,12,17,4,4,25,Venstre
2283,diesel-,85,16,28,1,85,16,28,129,Venstre
2284,benzinbil,85,16,28,1,85,16,28,129,Venstre
2285,bande,12,4,1,1,12,4,1,17,Venstre
2286,kant,7,1,2,1,7,1,2,10,Venstre
2287,dkpsyk,6,4,0,1,6,4,0,10,Venstre
2288,gennemsnit,19,9,3,1,19,9,3,31,Venstre
2289,sundhedsområde,19,9,3,1,19,9,3,31,Venstre
2290,hjemmehjælp,10,1,3,1,10,1,3,14,Venstre
2291,kompol,10,1,3,1,10,1,3,14,Venstre
2292,gavne,50,6,15,2,25,3,8,36,Venstre
2293,lønmodtagerjob,16,2,0,2,8,1,0,9,Venstre
2294,bachelor,46,11,2,2,23,6,1,30,Venstre
2295,s-hykleri,37,10,15,1,37,10,15,62,Venstre
2296,thorning,37,10,15,1,37,10,15,62,Venstre
2297,årsværk,37,10,15,1,37,10,15,62,Venstre
2298,skattevæsen,37,10,15,1,37,10,15,62,Venstre
2299,efterlade,37,10,15,1,37,10,15,62,Venstre
2300,kæmpemæssig,37,10,15,1,37,10,15,62,Venstre
2301,milliardløft,46,11,16,2,23,6,8,36,Venstre
2302,pessimisme,31,12,5,1,31,12,5,48,Venstre
2303,di-topmødet,31,12,5,1,31,12,5,48,Venstre
2304,lidelse,21,5,2,2,10,2,1,14,Venstre
2305,dksocial,2,0,0,1,2,0,0,2,Venstre
2306,adgang,24,9,5,2,12,4,2,19,Venstre
2307,hvidvaskskandalen,21,6,6,1,21,6,6,33,Venstre
2308,ottedoble,21,6,6,1,21,6,6,33,Venstre
2309,bøde,21,6,6,1,21,6,6,33,Venstre
2310,hektisk,21,6,6,1,21,6,6,33,Venstre
2311,stribe,21,6,6,1,21,6,6,33,Venstre
2312,itu,10,3,0,1,10,3,0,13,Venstre
2313,begejstringen,10,3,0,1,10,3,0,13,Venstre
2314,universitetsstuderende,14,4,0,1,14,4,0,18,Venstre
2315,erhvervserfaring,14,4,0,1,14,4,0,18,Venstre
2316,kandidatuddannelse,14,4,0,1,14,4,0,18,Venstre
2317,bonusordning,14,4,0,1,14,4,0,18,Venstre
2318,studiestart,14,4,0,1,14,4,0,18,Venstre
2319,uddannelses-,49,13,1,1,49,13,1,63,Venstre
2320,universitetsuddannelserne,49,13,1,1,49,13,1,63,Venstre
2321,cbs,49,13,1,1,49,13,1,63,Venstre
2322,kilde,28,2,8,6,5,0,1,6,Venstre
2323,integrationsministeriet,11,2,3,1,11,2,3,16,Venstre
2324,ældreministeriet,14,0,1,3,5,0,0,5,Venstre
2325,værn,14,6,4,1,14,6,4,24,Venstre
2326,finansministeriet,2,0,2,1,2,0,2,4,Venstre
2327,klimamarch,12,4,5,1,12,4,5,21,Venstre
2328,forbindelse,12,4,5,1,12,4,5,21,Venstre
2329,økonomi-,1,0,2,1,1,0,2,3,Venstre
2330,indenrigsministeriet,1,0,2,1,1,0,2,3,Venstre
2331,cancerregistret,6,0,1,1,6,0,1,7,Venstre
2332,5-års,6,0,1,1,6,0,1,7,Venstre
2333,overlevelse,6,0,1,1,6,0,1,7,Venstre
2334,årtusindeskifte,22,5,2,1,22,5,2,29,Venstre
2335,halvdel,22,5,2,1,22,5,2,29,Venstre
2336,kræftpatient,109,25,19,2,54,12,10,76,Venstre
2337,sundhedsdatastyrelsen,6,0,0,1,6,0,0,6,Venstre
2338,operation,25,10,8,1,25,10,8,43,Venstre
2339,periode,21,8,25,1,21,8,25,54,Venstre
2340,sommerferie,12,2,5,1,12,2,5,19,Venstre
2341,fts,12,2,5,1,12,2,5,19,Venstre
2342,tiltag,33,5,7,2,16,2,4,22,Venstre
2343,drivhusgas,12,2,5,1,12,2,5,19,Venstre
2344,bonjour,24,5,6,1,24,5,6,35,Venstre
2345,franske,24,5,6,1,24,5,6,35,Venstre
2346,præsidentpar,24,5,6,1,24,5,6,35,Venstre
2347,officiel,24,5,6,1,24,5,6,35,Venstre
