id,text,author_id,created_at,referenced_tweets,retweet_count,reply_count,like_count,quote_count,hashtags,mentions,urls,cashtags,description,author_created_at,name,username,verified,url,followers_count,following_count,tweet_count,listed_count
1384532998960422919,RT @PSkipperEL: I morgen har jeg både @PHummelgaard og @Heunicke i folketingssalen om jordemødrenes arbejdsforhold og krav om ligeløn. 1.07…,111554559,2021-04-20T15:42:44.000Z,"[{'type': 'retweeted', 'id': '1384531611736231937'}]",2,0,0,0,[],"['PSkipperEL', 'PHummelgaard', 'Heunicke']",[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1384532969436614656,"RT @PSkipperEL: Jordemødrene har sagt nej til overenskomsten. Det er selvfølgelig op til dem, men jeg er slet ikke overrasket, og jeg forst…",111554559,2021-04-20T15:42:37.000Z,"[{'type': 'retweeted', 'id': '1384531125842939906'}]",9,0,0,0,[],['PSkipperEL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1384521995405119490,RT @metteabildgaard: Super stærk aftale om statsborgerskab. Gode konservative fingeraftryk sat af@@MarcusKnuth1! Han har meget stor ære for…,7089792,2021-04-20T14:59:01.000Z,"[{'type': 'retweeted', 'id': '1384499065749127173'}]",3,0,0,0,[],['metteabildgaard'],[],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1384488600683917313,"Vigtig sejr: Nu kan fængselsdømte ikke få dansk pas!
Der var langt fra opbakning til vores forslag, da vi første gang sagde, at fængselsdømte ikke skulle kunne få dansk statsborgerskab.
Nu har vi endelig fået overbevist et flertal i Folketinget.
En god dag for Danmark! https://t.co/t8oAY9N24L",7089792,2021-04-20T12:46:19.000Z,,7,17,77,3,[],[],[None],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1384483481980448768,"RT @pederhvelplund: Det er simpelthen vandvittigt!
De i forvejen ekstremt stramme og rigide regler for opnåelse af statsborgerskab får nu e…",111554559,2021-04-20T12:25:59.000Z,"[{'type': 'retweeted', 'id': '1384483317534400512'}]",16,0,0,0,[],['pederhvelplund'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1384048573998792706,Læs mere om de tre konkrete forslag her: https://t.co/Hqns62IBgB,7089792,2021-04-19T07:37:49.000Z,"[{'type': 'replied_to', 'id': '1384048438317182976'}]",1,0,2,0,[],[],[None],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1384048438317182976,"Nyt udspil!

»Det er vanvittigt, at uskyldige unge bliver pisset på eller skal kysse overfaldsmandens sko. Og desværre bliver gerningsmændene ikke straffet ekstra hårdt ved denne type ydmygelser,« siger @metteabildgaard #dkpol 

Læs mere her: https://t.co/To07ZM2Wa7",7089792,2021-04-19T07:37:16.000Z,,1,7,13,2,['dkpol'],['metteabildgaard'],[None],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1383884491765153810,"RT @RosaLundEl: Der er noget sjovt over at @DanskDf1995 kritiserer @Enhedslisten for at sidde på hænderne, når en minister skal undersøges,…",111554559,2021-04-18T20:45:48.000Z,"[{'type': 'retweeted', 'id': '1383763113099501573'}]",8,0,0,0,[],"['RosaLundEl', 'DanskDf1995', 'Enhedslisten']",[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1383884437100797953,RT @RosaLundEl: Det her er jo helt vildt! #nedmedpandadiplomatiet  https://t.co/dKEI7YEdhP,111554559,2021-04-18T20:45:35.000Z,"[{'type': 'retweeted', 'id': '1383877788717834240'}]",5,0,0,0,['nedmedpandadiplomatiet'],['RosaLundEl'],[None],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1383884421783195648,RT @RosaLundEl: Det her er så skrækkeligt og pinligt! @Enhedslisten indkalder forspørgelsesdebat om hjemsendelse af syrere,111554559,2021-04-18T20:45:32.000Z,"[{'type': 'retweeted', 'id': '1383878554568433678'}]",22,0,0,0,[],"['RosaLundEl', 'Enhedslisten']",[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1382642607722008576,"Det har være en dyb, dyb tragedie, og jeg synes i den grad, at den danske regering og de tidligere regeringer skylder en undskyldning for det her, siger @EvaFlyvholm #dkpol https://t.co/FOaKbEKkfV",111554559,2021-04-15T10:31:00.000Z,,8,13,51,1,['dkpol'],['EvaFlyvholm'],[None],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
