,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic
1093,projekt,501,57,,10,50,6,,558
1094,gravearbejder,19,4,,1,19,4,,23
1095,Lyt,876,114,,7,125,16,,990
1096,universitet,180,25,,6,30,4,,205
1097,tvungen,101,9,,4,25,2,,110
1098,eksamenstilmelding,4,0,,1,4,0,,4
1099,Antallet,21,4,,3,7,1,,25
1100,reeksamener,4,0,,1,4,0,,4
1101,eksplodere,4,0,,1,4,0,,4
1102,Uddpol,4,0,,1,4,0,,4
1103,http://t.co/qLFKByGNd1,4,0,,1,4,0,,4
1104,væske,3,0,,2,2,0,,3
1105,Samråd,127,29,,4,32,7,,156
1106,Landstingssalen,44,10,,1,44,10,,54
1107,tilmelding,44,10,,1,44,10,,54
1108,borgerforslaget,88,27,,2,44,14,,115
1109,banalitet,7,4,,1,7,4,,11
1110,rage,17,7,,2,8,4,,24
1111,Møder,40,24,,2,20,12,,64
1112,øverst,191,29,,4,48,7,,220
1113,halvdel,133,33,,8,17,4,,166
1114,https://t.co/KurlXOtuOz,14,5,,1,14,5,,19
1115,udligningsaftalen,56,9,,1,56,9,,65
1116,stat,2195,236,,37,59,6,,2431
1117,Bureaukratiet,56,9,,1,56,9,,65
1118,Afskaffelsen,56,9,,1,56,9,,65
1119,magistrat,56,9,,1,56,9,,65
1120,Husk,35,13,,2,18,6,,48
1121,onsdag,301,39,,6,50,6,,340
1122,København,1973,194,,28,70,7,,2167
1123,Randers,30,16,,4,8,4,,46
1124,hjemløseindsatsen,28,3,,2,14,2,,31
1125,ekstra,864,146,,36,24,4,,1010
1126,staspulje,4,0,,1,4,0,,4
1127,Gode,705,51,,14,50,4,,756
1128,nyhed,1594,208,,19,84,11,,1802
1129,årig,51,6,,3,17,2,,57
1130,Nikoline,45,6,,1,45,6,,51
1131,Hillers,45,6,,1,45,6,,51
1132,Skanderborg,45,6,,2,22,3,,51
1133,aftryk,56,8,,3,19,3,,64
1134,finanslov,1756,276,,45,39,6,,2032
1135,pulje,89,10,,4,22,2,,99
1136,ung,250,17,,5,50,3,,267
1137,iværksætteri,57,7,,4,14,2,,64
1138,dkmedier,1429,247,,47,30,5,,1676
1139,https://t.co/DiaENKy02c,45,6,,1,45,6,,51
1140,flødeskum,0,0,,1,0,0,,0
1141,toppe,325,34,,6,54,6,,359
1142,videnskab,361,65,,3,120,22,,426
1143,eventyr,15,2,,2,8,1,,17
1144,Sønnen,0,0,,1,0,0,,0
1145,autisme,0,0,,1,0,0,,0
1146,uklar,9,2,,5,2,0,,11
1147,Lukker,2,0,,1,2,0,,2
1148,Livslinien,2,0,,1,2,0,,2
1149,opkald,2,0,,1,2,0,,2
1150,vagtlæge,2,0,,1,2,0,,2
1151,psykiatrisk,71,14,,2,36,7,,85
1152,modtagelse,2,0,,1,2,0,,2
1153,socail,2,0,,1,2,0,,2
1154,husly,1,0,,1,1,0,,1
1155,nyliberalisme,1,0,,1,1,0,,1
1156,gal,30,8,,3,10,3,,38
1157,prioritering,152,39,,8,19,5,,191
1158,friskole,128,19,,11,12,2,,147
1159,Friskoler,25,5,,1,25,5,,30
1160,lokalsamfund,25,5,,1,25,5,,30
1161,genoverveje,25,5,,1,25,5,,30
1162,skolechat,256,69,,26,10,3,,325
1163,ffl20,25,5,,1,25,5,,30
1164,fremtidig,187,35,,6,31,6,,222
1165,omfordelingsprojekter,23,7,,1,23,7,,30
1166,mod,604,60,,8,76,8,,664
1167,støtteparti,395,46,,6,66,8,,441
1168,vild,395,54,,14,28,4,,449
1169,ubelejlig,6,3,,1,6,3,,9
1170,Borgeren,9,4,,1,9,4,,13
1171,historie,1698,224,,37,46,6,,1922
1172,sagsbehandle,9,4,,1,9,4,,13
1173,https://t.co/z2A0loznxB,9,4,,1,9,4,,13
1174,indspil,1,0,,2,0,0,,1
1175,centrum,123,10,,5,25,2,,133
1176,venstreflertal,6,2,,1,6,2,,8
1177,handelsaftale,50,20,,2,25,10,,70
1178,stopCETA,49,19,,1,49,19,,68
1179,https://t.co/ExPQ9x83VA,15,6,,1,15,6,,21
1180,glad,2076,172,,44,47,4,,2248
1181,Erfaren,0,0,,1,0,0,,0
1182,advokat,40,5,,4,10,1,,45
1183,kraftfuld,10,11,,1,10,11,,21
1184,kritik,653,94,,16,41,6,,747
1185,handicapudspil,10,11,,1,10,11,,21
1186,Kirsten,16,14,,2,8,7,,30
1187,Ketscher,10,11,,1,10,11,,21
1188,rettighedsmassakre,10,11,,1,10,11,,21
1189,https://t.co/VBZTL6u1PA,10,11,,1,10,11,,21
1190,pointe,527,59,,25,21,2,,586
1191,førtispension,0,0,,1,0,0,,0
1192,afklaring,13,2,,3,4,1,,15
1193,arbejdslyst,0,0,,1,0,0,,0
1194,vegetarburgerunderøgelse,2,0,,1,2,0,,2
1195,mur,41,8,,4,10,2,,49
1196,tyk,19,4,,3,6,1,,23
1197,klogskab,10,2,,1,10,2,,12
1198,folkelig,151,22,,6,25,4,,173
1199,Corona,482,74,,16,30,5,,556
1200,virus,1052,50,,7,150,7,,1102
1201,https://t.co/2z9swHfBfx,59,5,,1,59,5,,64
1202,Gitte,1,0,,1,1,0,,1
1203,Seebergs,1,0,,1,1,0,,1
1204,kommentar,819,64,,15,55,4,,883
1205,klimaflygtninge,1,0,,1,1,0,,1
1206,Kontanthjælps,3,2,,1,3,2,,5
1207,optimistisk,5,2,,2,2,1,,7
1208,sagsbeh,3,2,,1,3,2,,5
1209,samfundskontrakten,3,2,,1,3,2,,5
1210,fri,533,68,,20,27,3,,601
1211,Folk,109,23,,11,10,2,,132
1212,kontrakt,5,2,,3,2,1,,7
1213,️@AlexanderSF_Bby,3,2,,1,3,2,,5
1214,længde,140,18,,3,47,6,,158
1215,menneskelig,261,21,,5,52,4,,282
1216,Thumbs,2,1,,1,2,1,,3
1217,up-demo,2,1,,1,2,1,,3
1218,lokalpolitiker,2,1,,1,2,1,,3
1219,Frederikshavn,5,3,,2,2,2,,8
1220,Fortsæt,24,2,,3,8,1,,26
1221,http://t.co/aCSlH6ftKl,2,1,,1,2,1,,3
1222,påstand,292,27,,15,19,2,,319
1223,Nej,99,9,,29,3,0,,108
1224,milliardbesparelse,1,0,,2,0,0,,1
1225,29.,0,0,,1,0,0,,0
1226,oktober,110,19,,6,18,3,,129
1227,uddannelsesområde,86,14,,3,29,5,,100
1228,http://t.co/D70bD4BbDi,0,0,,1,0,0,,0
1229,normering,222,36,,9,25,4,,258
1230,forhandling,2109,230,,36,59,6,,2339
1231,boligydelse,41,10,,3,14,3,,51
1232,Svage,36,8,,1,36,8,,44
1233,dødelighed,36,8,,1,36,8,,44
1234,soc.,67,17,,1,67,17,,84
1235,mini,67,17,,1,67,17,,84
1236,lovlig,229,43,,9,25,5,,272
1237,ulovlig,1675,179,,21,80,9,,1854
1238,privat,1240,131,,26,48,5,,1371
1239,konsulent,219,50,,5,44,10,,269
1240,provision,67,17,,1,67,17,,84
1241,handicapområde,269,50,,7,38,7,,319
1242,dkhandicap,67,17,,1,67,17,,84
1243,fejl,1145,143,,27,42,5,,1288
1244,afgørelse,122,23,,4,30,6,,145
1245,Kassetænkning,62,14,,1,62,14,,76
1246,https://t.co/0sFvoeV1rP,62,14,,1,62,14,,76
1247,lokale,403,66,,15,27,4,,469
1248,kraft,1509,110,,8,189,14,,1619
1249,herlig,71,13,,2,36,6,,84
1250,Limfjordsø,8,4,,1,8,4,,12
1251,Egholm,13,6,,2,6,3,,19
1252,motorvejsføring,8,4,,1,8,4,,12
1253,Lov,46,10,,2,23,5,,56
1254,Jensen,205,33,,8,26,4,,238
1255,ændre,4,0,,2,2,0,,4
1256,strategisk,199,31,,3,66,10,,230
1257,samarbejde,1527,203,,39,39,5,,1730
1258,Indien,29,10,,3,10,3,,39
1259,dansk,8341,1204,,168,50,7,,9545
1260,arbejdsplads,247,78,,22,11,4,,325
1261,Norden,13,6,,1,13,6,,19
1262,klimabistand,13,6,,1,13,6,,19
1263,hjemmeside,35,2,,4,9,0,,37
1264,Sindssygt,50,22,,1,50,22,,72
1265,vedkomme,140,69,,2,70,34,,209
1266,https://t.co/45pAlyc1yu,50,22,,1,50,22,,72
1267,fornøjelse,315,23,,13,24,2,,338
1268,tekst,21,3,,4,5,1,,24
1269,artikel,392,77,,28,14,3,,469
1270,Altinget,19,1,,3,6,0,,20
1271,Britta,52,5,,3,17,2,,57
1272,N.’s,24,3,,1,24,3,,27
1273,svindel,27,4,,3,9,1,,31
1274,Satspuljen,24,3,,1,24,3,,27
1275,lykkes,2,3,,1,2,3,,5
1276,feste,2,3,,1,2,3,,5
1277,klimamarch,140,19,,2,70,10,,159
1278,hovedstad,56,11,,3,19,4,,67
1279,grande,35,7,,1,35,7,,42
1280,Karolinelund,35,7,,1,35,7,,42
1281,https://t.co/Lcm7FClPbR,35,7,,1,35,7,,42
1282,hul,68,12,,5,14,2,,80
1283,Stop,112,22,,8,14,3,,134
1284,news,113,13,,5,23,3,,126
1285,eksempel,902,125,,27,33,5,,1027
1286,forretning,85,18,,4,21,4,,103
1287,overskud,307,15,,10,31,2,,322
1288,særlig,58,1,,9,6,0,,59
1289,studentervogn,1,0,,1,1,0,,1
1290,voksen,395,54,,13,30,4,,449
1291,forbrug,126,21,,11,11,2,,147
1292,refinansiering,54,15,,1,54,15,,69
1293,lukning,397,72,,5,79,14,,469
1294,satspulje,65,17,,3,22,6,,82
1295,blodbad,58,19,,2,29,10,,77
1296,dkpool,54,15,,1,54,15,,69
1297,optur,0,0,,1,0,0,,0
1298,inddragelse,73,19,,5,15,4,,92
1299,Christian,42,8,,5,8,2,,50
1300,Nissen,5,1,,1,5,1,,6
1301,Jørgen,5,2,,2,2,1,,7
1302,Grønnegaard,5,1,,1,5,1,,6
1303,https://t.co/Sc3TyViSAR,5,1,,1,5,1,,6
1304,indstilling,15,2,,2,8,1,,17
1305,Førtids,34,14,,1,34,14,,48
1306,fleksreformen,34,14,,1,34,14,,48
1307,strammer,34,14,,1,34,14,,48
1308,nødvendig,633,121,,23,28,5,,754
1309,Thor,10,0,,1,10,0,,10
1310,vind,17,3,,4,4,1,,20
1311,sejl,13,0,,2,6,0,,13
1312,Hønge,726,34,,4,182,8,,760
1313,løfte,610,74,,13,47,6,,684
1314,forligskreds,18,4,,2,9,2,,22
1315,Bruuns,0,0,,1,0,0,,0
1316,Galleri,0,0,,1,0,0,,0
1317,gennemgribende,24,3,,1,24,3,,27
1318,opfølgning,33,4,,3,11,1,,37
1319,virksom,24,3,,1,24,3,,27
1320,metode,47,3,,3,16,1,,50
1321,Kassetænkningen,24,3,,1,24,3,,27
1322,hjemløsepolitiken,24,3,,1,24,3,,27
1323,https://t.co/JbgxUSgfnE,24,3,,1,24,3,,27
1324,telt,28,3,,5,6,1,,31
1325,https://t.co/w04LI0VZI3,1,0,,1,1,0,,1
1326,Dejlig,16,4,,3,5,1,,20
1327,tur,304,28,,13,23,2,,332
1328,Limfjordsøen,5,2,,1,5,2,,7
1329,åben,130,24,,9,14,3,,154
1330,arrangement,38,14,,7,5,2,,52
1331,aften,1082,114,,45,24,3,,1196
1332,mund,659,24,,6,110,4,,683
1333,sæbe,1,0,,1,1,0,,1
1334,Lynge,1,0,,1,1,0,,1
1335,etablering,10,2,,2,5,1,,12
1336,drift,40,4,,5,8,1,,44
1337,naturnationalparker,8,2,,1,8,2,,10
1338,udbud,271,17,,9,30,2,,288
1339,friluftsaktivitet,8,2,,1,8,2,,10
1340,NGO,34,9,,2,17,4,,43
1341,opgave,795,75,,26,31,3,,870
1342,dknatur,60,13,,2,30,6,,73
1343,https://t.co/Gypa4d8ONi,8,2,,1,8,2,,10
1344,uenig,154,11,,18,9,1,,165
1345,brugerbetaling,38,16,,6,6,3,,54
1346,Katastrofen,12,4,,1,12,4,,16
1347,vært,63,13,,4,16,3,,76
1348,konf,22,8,,1,22,8,,30
1349,Elbæk,111,20,,5,22,4,,131
1350,Guy,22,8,,1,22,8,,30
1351,Standing,22,8,,1,22,8,,30
1352,digital,623,81,,11,57,7,,704
1353,indikator,2,0,,1,2,0,,2
1354,forarmelse,2,0,,1,2,0,,2
1355,socpol,2,0,,1,2,0,,2
1356,socialpol,13,2,,2,6,1,,15
1357,Korrekt,1,2,,4,0,0,,3
1358,Uligheden,1,1,,1,1,1,,2
1359,pleje,65,19,,4,16,5,,84
1360,kl.,313,38,,12,26,3,,351
1361,socialminister,171,33,,4,43,8,,204
1362,dokumentation,77,11,,6,13,2,,88
1363,kraftig,119,32,,4,30,8,,151
1364,indgreb,167,23,,10,17,2,,190
1365,Ret,185,29,,2,92,14,,214
1366,plaster,293,44,,3,98,15,,337
1367,nedsættelse,28,11,,1,28,11,,39
1368,Alt,202,45,,15,13,3,,247
1369,efterlade,74,17,,2,37,8,,91
1370,arbejdsmarkedet.#dkpol,28,11,,1,28,11,,39
1371,Ministerens,72,15,,2,36,8,,87
