,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic
2303,befrielse,5,1,,2,2,0,,6
2304,tysk,353,59,,10,35,6,,412
2305,besættelsesmagt,4,1,,1,4,1,,5
2306,Verdenskrig,89,25,,2,44,12,,114
2307,weekend,458,66,,17,27,4,,524
2308,https://t.co/vPLgWQiC2x,8,2,,2,4,1,,10
2309,asylstop,81,25,,6,14,4,,106
2310,forøgelse,25,13,,1,25,13,,38
2311,ældrecheck,25,13,,1,25,13,,38
2312,nærområde,83,48,,9,9,5,,131
2313,mio,258,63,,14,18,4,,321
2314,fv19,578,83,,11,53,8,,661
2315,dommenhttp://ekstrabladet.dk/11your,0,1,,1,0,1,,1
2316,new,271,84,,11,25,8,,355
2317,password,0,1,,1,0,1,,1
2318,levakovic-i-retten-her-er-,0,1,,1,0,1,,1
2319,dommen/5675466,0,1,,1,0,1,,1
2320,Jean-Claude,11,3,,1,11,3,,14
2321,EU-kommissionen,11,3,,1,11,3,,14
2322,regeringschef,11,3,,1,11,3,,14
2323,gengæld,582,66,,14,42,5,,648
2324,Behov,46,20,,3,15,7,,66
2325,karakter,137,22,,7,20,3,,159
2326,EU-partierne,6,1,,1,6,1,,7
2327,Europol,38,17,,4,10,4,,55
2328,løftestang,6,1,,1,6,1,,7
2329,retsforbehold,8,4,,2,4,2,,12
2330,parre,421,51,,17,25,3,,472
2331,læk,20,1,,2,10,0,,21
2332,essentiel,0,1,,1,0,1,,1
2333,dårlig,1164,110,,38,31,3,,1274
2334,moral,0,0,,1,0,0,,0
2335,Deadline,74,7,,3,25,2,,81
2336,Trump,880,92,,22,40,4,,972
2337,https://t.co/ZwACnfT0ei,4,0,,1,4,0,,4
2338,ghettotur,51,10,,1,51,10,,61
2339,Skovparken,51,10,,1,51,10,,61
2340,Kolding,165,34,,7,24,5,,199
2341,ghetto,90,22,,3,30,7,,112
2342,stykke,218,27,,8,27,3,,245
2343,julepynt,51,10,,1,51,10,,61
2344,juleting,51,10,,1,51,10,,61
2345,koranindskrifter,51,10,,1,51,10,,61
2346,Italien,241,43,,5,48,9,,284
2347,guldreserver,148,31,,1,148,31,,179
2348,guld,148,31,,1,148,31,,179
2349,Storbritannien,191,35,,2,96,18,,226
2350,italiener,148,31,,1,148,31,,179
2351,skatteyder,612,64,,5,122,13,,676
2352,lom,187,33,,2,94,16,,220
2353,eupol,509,64,,8,64,8,,573
2354,mff,148,31,,1,148,31,,179
2355,https://t.co/4Cxy84nY0A,148,31,,1,148,31,,179
2356,tog,10,7,,7,1,1,,17
2357,https://t.co/ZIWxGRBUKg,2,0,,1,2,0,,2
2358,strand,0,0,,1,0,0,,0
2359,lokal,39,12,,3,13,4,,51
2360,turisme,120,17,,5,24,3,,137
2361,møller,0,0,,1,0,0,,0
2362,Politiken,192,26,,8,24,3,,218
2363,borgerrådgiver,61,10,,1,61,10,,71
2364,Ministerspørgsmål,61,10,,1,61,10,,71
2365,https://t.co/ZVgmhs3Tkx,61,10,,1,61,10,,71
2366,overraskelse,80,15,,5,16,3,,95
2367,Modtog,63,9,,1,63,9,,72
2368,Hjemmeværnskommandoens,63,9,,1,63,9,,72
2369,maj-Parole,63,9,,1,63,9,,72
2370,Vordingborg,63,9,,1,63,9,,72
2371,Kaserne,63,9,,1,63,9,,72
2372,Hjemmeværnets,63,9,,1,63,9,,72
2373,Fortjensttegn,63,9,,1,63,9,,72
2374,diplom,63,9,,1,63,9,,72
2375,skønne,108,13,,3,36,4,,121
2376,blomst,80,12,,2,40,6,,92
2377,🏻#Brittagate,8,2,,1,8,2,,10
2378,øjeblik,88,13,,3,29,4,,101
2379,retssikkerhedskonference,55,4,,1,55,4,,59
2380,individuel,55,4,,1,55,4,,59
2381,vurdering,324,35,,11,29,3,,359
2382,https://t.co/XsYSZUzeuF,55,4,,1,55,4,,59
2383,oversættelse,44,17,,1,44,17,,61
2384,Bibelens,44,17,,1,44,17,,61
2385,Testamente,44,17,,1,44,17,,61
2386,Israel,127,23,,7,18,3,,150
2387,Israelisterne,44,17,,1,44,17,,61
2388,infam,44,17,,1,44,17,,61
2389,hærværk,61,19,,4,15,5,,80
2390,udtryk,484,36,,9,54,4,,520
2391,Himlens,78,24,,2,39,12,,102
2392,Fremragende,50,14,,4,12,4,,64
2393,Berlingske-journalistik,16,3,,1,16,3,,19
2394,Forrygende,16,3,,1,16,3,,19
2395,Forsvarets,16,3,,1,16,3,,19
2396,Efterretningstjeneste,16,3,,1,16,3,,19
2397,forsvarsminister,82,31,,4,20,8,,113
2398,aftrækker,46,4,,2,23,2,,50
2399,https://t.co/i33KzfiWq1,16,3,,1,16,3,,19
2400,Idenne,1,0,,1,1,0,,1
2401,led,523,60,,12,44,5,,583
2402,betalingsmur,25,9,,3,8,3,,34
2403,Berlingske,256,24,,11,23,2,,280
2404,ironisk,60,7,,2,30,4,,67
2405,idag,316,49,,11,29,4,,365
